feature_id,theme,longitude,latitude,water_القرية,water_المحصول,water__4,water__5,water__6,water__7,water__8,energy_القرية,energy__3,energy__4,energy__5,energy__6,energy__7,energy__8,energy__9,energy__10,energy__11,energy__12,food_القرية,food__3,food__4,food__5,food__6,food__7,food__8,food__9,food__10,general_info_القرية,general_info__3,general_info__4,general_info__5,general_info__6,regenerative_agriculture_القرية,regenerative_agriculture__3,regenerative_agriculture__4,regenerative_agriculture__5,regenerative_agriculture__6,regenerative_agriculture__7,coord_hash,village_sample_size,water_scarcity_months,water_sufficiency_score,has_solar,manual_labor_pct,crop_diversity,production_level_score,has_animals,farm_size_score,climate_aware,regen_technique_count,fertilizer_reliance_score,pesticide_reliance_score,resource_intensity,has_regen_practice,low_fertilizer,target_regen_adoption,water_insufficient,target_water_risk,small_farm,small_production,high_chem_depend,target_economic_vuln,high_manual_labor,medium_large_farm,target_labor_shortage,climate_observed,has_climate_impact,target_climate_vuln,water_source_Only rain water,"water_source_River, water stream",water_source_Underground well,water_source_Water transportation by tankers,water_source_other,soil_type_Clay soil,soil_type_Loamy (clay and sandy) calcareous soil,soil_type_Loamy soil (clay and sandy),soil_type_Sandy clay soil,soil_type_other,energy_source_Diesel generator electricity from the grid manually,energy_source_Electricity from the grid,energy_source_Manually,energy_source_Solar energy,energy_source_other
Water_29_004fea36,Water,35.525734,33.708065,Deir Baba,,June,"Once a week, twice",other,Sometimes enough,August and October,,other,,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Deir Baba,"Summer vegetables: beans and squash, beans and squash",June August,Small production,"Olive oil, pickled vegetables (such as cucumber, maqdoos), honey",Most homes (60–80%),Laying hens,Less than 20,A mix between the two,,,other,,,,,,,,,35.525734_33.708065,1,0.0,2.0,0,50.0,2.0,1.0,1,1.0,0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
Water_30_09601bd0,Water,35.703264,33.811167,Charoun,Vegetables,,Every two days,Underground well,always,,Charoun,Diesel generator,40 liters of diesel per week,0.0,100.0,0.0,0.0,0.0,40.0,0.0,0.0,Charoun,Vegetable apple,June July August,Small production,"Pickled vegetables (such as cucumber, maqdoos)",Few houses (< 30%),,,,,,other,,,,,,,,,35.703264_33.811167,1,0.0,2.0,1,0.0,1.0,1.0,0,1.0,0,0.0,1.0,1.0,0.6666666666666666,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False
Water_31_c8405315,Water,35.488343,33.632139,Chahim,,,"Not irrigated once a week, twice a week",other,It rarely is,Summer months,,other,,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Chahim,"Olives, vegetables and fruits, tomatoes and cucumbers, vegetables, fruit seedlings, I do not plant them, and my pain comes. They made us ornaments for the family.",All year,Small production,"Olive oil Dried herbs (such as thyme) Jams or preserves Dairy products (labneh, cheese) Pickled vegetables (cucumber, maqdous)",Most homes (60–80%),Laying hens,Between 51 and 100,A mix between the two,,,other,,,,,,,,,35.488343_33.632139,1,0.0,2.0,0,50.0,7.0,1.0,1,1.0,0,0.0,1.0,1.0,1.0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
Water_32_76521ff4,Water,35.562627,33.707067,Chawalik Deir El Qamar,,July,Once a week,Irrigation channels,Sometimes enough,July August September,Chawalik Deir El Qamar,other,One kilowatt-hour of electricity per week,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,Chawalik Deir El Qamar,Olive beans,July - October,Average production,"Olive oil, pickled vegetables (eg cucumber, maqdous), jams or other preserves",Most homes (60–80%),,,,,,other,,,Bshtfine,Using organic materials for organic fertilization Reduce or no tillage,Chemical fertilizers | Animal manure,Partial credit,Chemical control pesticides,Partial credit,35.562627_33.707067,1,0.0,2.0,0,0.0,1.0,1.0,0,1.0,0,1.0,1.0,1.0,0.6666666666666666,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
Water_33_dd36713b,Water,35.512598,33.636209,Aanout,"Beans, chickpeas, tomatoes, cucumber, zucchini, and pumpkin",April,"Not irrigated every two days, once a week",other,It rarely is,Summer months,Daraya El Chouf,Diesel generator electricity from the grid manually,One liter of diesel per week,25.0,25.0,100.0,0.0,0.0,1.0,0.0,0.0,Aanout,"Tomatoes, cowpeas, cucumber, zucchini, cabbage, lettuce, beans, chickpeas, cowpea, pumpkin, and kidney beans",June July August,Small production,"Olive oil, dried herbs (such as thyme), honey, pickled vegetables, cucumbers, maqdoos)",Some homes (30–60%),Laying hens,Between 20 and 50,"Ready-made commercial feed, household or agricultural waste, a mixture of the two",,,other,,,,,,,,,35.512598_33.636209,1,0.0,2.0,1,25.0,11.0,1.0,1,1.0,0,0.0,1.0,1.0,0.8333333333333334,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False
Water_34_31324254,Water,35.568355,33.675762,Atrine,,,Once a week,Water transportation by tankers,It rarely is,July August,Atrine,Diesel generator,10 liters of diesel per week,0.0,100.0,0.0,0.0,0.0,10.0,0.0,0.0,Atrine,Tomatoes and cabbage,June July August,Average production,Olive oil honey,Few houses (< 30%),,,,Baaqline,"More than 2 hectares (>20,000 m2)",other,"High temperatures, lack of rainfall, changing the timing of planting, affecting the production season, increasing heat waves, frost","Decreased production, delay in agricultural seasons, increased pests and diseases",Baaqline,"Organic Fertilization |  Using organic materials  Using organic materials, organic mulching, organic fertilization and crop rotation",Chemical fertilizers|   Animal manure Organic compost |,Partial credit,Chemical control pesticides,Partial credit,35.568355_33.675762,1,0.0,2.0,1,0.0,1.0,1.0,0,1.0,1,3.0,1.0,1.0,0.6666666666666666,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False
Water_35_63d99c8c,Water,35.407042,33.603189,Aalman,Avoca lemon cream,March October November April February December,"Once a week, every 15 days, twice",other,Sometimes enough,Summer months,,other,,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Aalman,Citrus and Avocado Cream Banana Jujube Clementine Lemon Citrus Olive Lemon Cream Caronbola Monster Fruit Clementine Mandarin,All year,Small production,"Other dried herbs (such as thyme), olive oil, pickled vegetables, cucumber, maqdous, honey, dairy products, labneh, cheese.",Most homes (60–80%),Goat Layer Chicken Chicken (Meat),And 50,"Ready-made commercial feed, household or agricultural waste, grains, a mixture of the two",,,other,,,,,,,,,35.407042_33.603189,1,0.0,2.0,0,50.0,1.0,1.0,1,1.0,0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
Water_36_decc2e49,Water,35.607415,33.653201,Ammatour,avocado,May September July,"Every two days, once a week, twice a week",other,Sometimes enough,August September July,Ain Qani,Manually,Transport only,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ain Qani,I hate Lubia,,Small production,"Olive oil, pickled vegetables (such as cucumber, maqdous), jams or preserves, honey, dairy products, labneh, cheese)",Almost all homes,Laying hens,Between 20 and 50,A mix between the two,Ain Qani,Less than 5 dunums (< 5000 square metres),Clay soil,"High temperatures, lack of precipitation",Low production delay in agricultural seasons,Jadideh El Chouf,Incorporation of biofertilizers,Animal manure,It is not used,Chemical control pesticides,Partial credit,35.607415_33.653201,1,0.0,2.0,0,100.0,1.0,1.0,1,1.0,1,1.0,1.0,1.0,1.3333333333333333,0,1,1,0,0,1,1,0,1,1,0,0,1,0,0,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False
Water_37_bb1ffd16,Water,35.693978,33.754771,Ain Zahlta,"Apples, legumes",September,"Every two days, once 15 days",other,Sometimes enough,September October July August,Ain Zahlta,other,,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Ain Zahlta,Apples and pears are legumes,June July August,Average production,"Jams or preserves Olive oil Pickled vegetables (e.g. cucumber, maqdous) Dried herbs (thyme) Other",Most homes (60–80%),My chicken,Between 20 and 50,"Ready-made commercial feed, household or agricultural waste",,,other,,,,,,,,,35.693978_33.754771,1,0.0,2.0,1,50.0,1.0,1.0,1,1.0,0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
Water_38_56209625,Water,35.61163,33.65771,Ain Qani,,,Every two days,"River, water stream",Sometimes enough,dad,Al-Mokhtara,Manually,Solar watches (if available),100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ain Qani,I hate Lubia,,Small production,"Olive oil, pickled vegetables (such as cucumber, maqdous), jams or preserves, honey, dairy products, labneh, cheese)",Almost all homes,Laying hens,Between 20 and 50,A mix between the two,Mokhtara,Less than 5 dunums (< 5000 square metres),Clay soil,"High temperatures, lack of precipitation",Increase in pests and diseases,Al-Mokhtara,Organic fertilization,"Chemical fertilizers, organic compost",Partial credit,Chemical control pesticides,Partial credit,35.61163_33.65771,1,0.0,2.0,0,100.0,1.0,1.0,1,1.0,1,1.0,1.0,1.0,1.3333333333333333,1,0,1,0,0,1,1,0,1,1,0,0,1,1,1,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False
Water_39_fc849a43,Water,35.6172,33.684366,Ain W Zain,"Tomatoes, parsley, olives",September June February,"Not irrigated every two days, once a week",other,Sometimes enough,Summer months,Ain W Zain,Electricity from the grid,One kilowatt-hour of electricity per week,75.0,0.0,25.0,0.0,0.0,1.0,0.0,0.0,Ain W Zain,"Tomatoes, fodder for livestock, such as barley, olives, and cabbage parsley",June July August,Average production,"Pickled vegetables (such as cucumber, maqdous) Olive oil Dried herbs Thyme Jams or preserves Honey Dairy products Labneh, cheese",Most homes (60–80%),Laying hens,Between 20 and 50,A mix between the two,,,other,,,,,,,,,35.6172_33.684366,1,0.0,2.0,1,75.0,5.0,1.0,1,1.0,0,0.0,1.0,1.0,1.1666666666666667,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False
Water_40_182b2838,Water,35.562358,33.648507,Gharifeh,olive,,untold,other,always,Summer months,Gharifeh,other,,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Gharifeh,Legumes and olive tree vegetables only,June July August,Small production,"Pickled vegetables (such as cucumber, maqdoos) Olive oil",Some homes (30–60%),Laying hens,Less than 20,Domestic or agricultural waste,,,other,,,,,,,,,35.562358_33.648507,1,0.0,2.0,0,50.0,1.0,1.0,1,1.0,0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
Water_41_bbbd0989,Water,35.454315,33.630531,Ktermaya El Chouf,,,Twice a week,Water transportation by tankers,Completely insufficient,Most of the months,Ktermaya El Chouf,other,One liter of diesel per week,0.0,100.0,0.0,0.0,100.0,1.0,0.0,0.0,Ktermaya El Chouf,Khasar,December,Small production,"Olive oil, dried herbs (such as thyme), dairy products (labneh, cheese)",Few houses (< 30%),Laying hens,Less than 20,Ready commercial feed,,,other,,,,,,,,,35.454315_33.630531,1,0.0,2.0,1,0.0,1.0,1.0,1,1.0,0,0.0,1.0,1.0,0.6666666666666666,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True
Water_42_d72d95f7,Water,35.588746,33.657499,Kahlouniyeh El Chouf,Olives vegetables tomato cucumber,December,"Every two days, once every 15 days",Water transportation by tankers,Sometimes enough,July August month,,other,,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Al-Kahlouniyeh,"Seasonal vegetables, olives and figs, tomatoes, cucumbers, vegetables, olives, figs, grapes, beans, pomegranates, and more recently, mufti sabir, thyme, and olives.",June July August,Small production medium production,"Dried herbs (such as thyme) Other jams or preserves Olive oil Pickled vegetables Cucumbers, maqdous) Grape molasses",Most homes (60–80%),Laying hens,Between 20 and 50,"Ready-made commercial feed, household or agricultural waste, a mixture of the two",Al-Kahlouniyeh,Less than 5 dunums (< 5000 square metres),Loamy (clay and sandy) calcareous soil,"High temperatures, lack of precipitation, increased heat waves, frost","Decrease in production, delay in agricultural seasons, increase in pests and diseases, difficulties in pollination and fruiting",,,,,,,35.588746_33.657499,1,0.0,2.0,0,50.0,14.0,1.0,1,1.0,1,0.0,1.0,1.0,1.0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True
Water_43_8abaccb6,Water,35.50962,33.701853,Kfarhaym,Cucumber and zucchini,,"Twice a week, daily",other,Sometimes enough,,Dmit El Chouf,other,One liter of diesel per week,66.67,33.33,33.33,0.0,0.0,1.0,0.0,0.0,Kfarhaym,"Tomatoes, cucumbers, eggplant, zucchini and beans",June July August,Small production,"Other dairy products (such as labneh, cheese)",Most homes (60–80%),Laying hens,Less than 20,A combination of the two. I preferred to eat homemade food or buy them wheat and waste,,,other,,,,,,,,,35.50962_33.701853,1,0.0,2.0,1,66.67,4.0,1.0,1,1.0,0,0.0,1.0,1.0,1.1111333333333333,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
Water_44_7faca820,Water,35.537408,33.707844,Kfarfakoud,,,Once a week,"River, water stream",It rarely is,,Kfarfakoud,Manually,nothing,33.33,0.0,66.67,0.0,0.0,0.0,0.0,0.0,Kfarfakoud,"Beans and squash, onions, chinar trees, and olives. Beans, fava beans, pasta, flora, olives",All year,Average production,"Dried herbs (such as thyme) Dairy products (labneh, cheese) Olive oil",Some homes (30–60%),Other laying hens,Less than 20,Domestic or agricultural waste is a mixture of the two,,,other,,,,,,,,,35.537408_33.707844,1,0.0,2.0,0,33.33,8.0,1.0,1,1.0,0,0.0,1.0,1.0,0.8888666666666666,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False
Water_45_e3bd6c45,Water,35.535801,33.713,Kfarfakoud El Chouf,Ganark and lemon beans,,"Once a week, twice",other,Sometimes enough,August-September-July-August-September,,other,,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kfarfakoud,"Beans and squash, onions, chinar trees, and olives. Beans, fava beans, pasta, flora, olives",All year,Average production,"Dried herbs (such as thyme) Dairy products (labneh, cheese) Olive oil",Some homes (30–60%),Other laying hens,Less than 20,Domestic or agricultural waste is a mixture of the two,,,other,,,,,,,,,35.535801_33.713,1,0.0,2.0,0,50.0,8.0,1.0,1,1.0,0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
Water_46_55df298e,Water,35.63186,33.705373,Kfarnabrakh,"Apple, tomato, olive, pine, avoca, citrus",July June April,"Every two days, once a week, twice a month, 15 days",other,Sometimes enough,"July, August, June, July, August, September, October and the second",,other,,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kfarnabrakh,"Fruit trees, apples, tomatoes, cucumbers, tomatoes, zucchini, beans",All year,Average production,"Others Dried herbs (such as thyme) Jams or preserves Pickled vegetables (cucumbers, maqdous) Olive oil Honey Grape molasses",Most homes (60–80%),"Laying chicken, duck, turkey",Between 20 and 50,"Ready-made commercial feed, household or agricultural waste, a mixture of the two",,,other,,,,,,,,,35.63186_33.705373,1,0.0,2.0,0,50.0,7.0,1.0,1,1.0,0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
Water_47_47b677c9,Water,35.622299,33.730095,Majdel El Meouch,,June August July,"Every two days, twice a week",other,Sometimes enough,September June July August,Majdel El Meouch,Manually,attractiveness,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Majdel El Meouch,Tomatoes are wheat and leafy vegetables,,Great production,"Olive oil, pickled vegetables (such as cucumber, maqdous), dried herbs, thyme, dairy products, labneh, cheese, etc.",Most homes (60–80%),Layer chicken (meat),More than 100,Ready commercial feed,,,other,,,,,,,,,35.622299_33.730095,1,0.0,2.0,1,100.0,1.0,1.0,1,1.0,0,0.0,1.0,1.0,1.3333333333333333,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
Water_48_224a6621,Water,35.662419,33.643078,Mrosti,"Fruit trees and crops: tomatoes, cowpeas, cucumbers, onions, thyme, apples, honey, cherries, Najas apples, cucumbers, peppers",March April August May September July June October June,"Every two days, once a week, a month, 15 days, twice, once every 15 days",other,Sometimes enough,"August, September, October, and October are July",Mrosti,Manually,One liter of diesel per week,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Mrosti,"Apples and cherries, all kinds of vegetables, tomatoes, vegetables, pears, cherries, cabbage, potatoes, planting cowpeas, fruit trees, tomatoes, cucumbers, apples, and summer vegetables, onions.",June July August,Great production,"Others Dried herbs (such as thyme) Honey Grape molasses Jams or preserves Dairy products (labneh, cheese) Pickled vegetables (cucumber, maqdous) Olive oil",Most homes (60–80%),Laying hens,Between 20 and 50,"Ready-made commercial feed, household or agricultural waste, wheat, corn, and bran, a mixture of the two",,,other,,,,,,,,,35.662419_33.643078,1,0.0,2.0,1,100.0,15.0,1.0,1,1.0,0,0.0,1.0,1.0,1.3333333333333333,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
Water_49_bf5bba68,Water,35.485018,33.616901,Mazboud,"Citrus fruits, avocados, olives and vegetables",September,"Every two days, once 15 days a day",other,Sometimes enough,Summer months,Chahim,other,,50.0,25.0,0.0,0.0,0.0,1.0,0.0,0.0,Mazboud,"Avoca green olives, citrus fruits, avocado and carob",June July August,Small production,"Olive oil Pickled vegetables (e.g. cucumber, maqdous) Dried herbs Thyme Jams or preserves Honey Dairy products Labneh, cheese)",Some homes (30–60%),"Rabbits, chickens, layers, chickens (meat), ducks",Between 20 and 50,"Ready-made commercial feed, household or agricultural waste, a mixture of the two",Chahim,Less than 5 dunums (< 5000 square metres),Clay soil,"Higher temperatures, decreased precipitation, increased heat waves, and water","Low production, delay in agricultural seasons, difficulties in pollination and fruiting",Chahim,Organic Fertilization | Food waste recycling/compost Crop rotation Biological pest control Reduce or no tillage Cover crops,Animal manure Food waste and peels,It is not used,Homemade pesticides | Chemical control pesticides,Partial credit,35.485018_33.616901,1,0.0,2.0,1,50.0,3.0,1.0,1,1.0,1,1.0,1.0,1.0,1.0,1,1,1,0,0,1,1,0,1,1,0,0,1,0,0,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True
Water_50_24a62261,Water,35.592496,33.642451,Mazraat El Chouf,Fig olives,September,"Not irrigated, not irrigated every two days, not irrigated, every two days, once a week, twice",other,Sometimes enough,Summer months,Al-Kahlouniyeh,Manually,One liter of diesel per week,75.0,0.0,25.0,0.0,0.0,1.0,10.0,0.0,Mazraat El Chouf,"Mountain tomatoes, mixed vegetables, beans, kidney beans, cucumbers, figs, olives, and berries",June July August,Great production,"Other Pickled vegetables (such as cucumber, maqdous) Olive oil Dried herbs Thyme Dairy products Labneh, cheese Jams or preserves Honey",Most homes (60–80%),Laying hens,Between 20 and 50,"Ready-made commercial feed, household or agricultural waste, a mixture of the two",,,other,,,Kahlouniyeh El Chouf,Reduce or no tillage by using organic materials. Organic mulching,Biofertilizers  Animal manure,Partial credit,"Chemical control, pesticides, biological control, natural enemies, biopesticides, homemade pesticides",Partial credit,35.592496_33.642451,1,0.0,2.0,1,75.0,8.0,1.0,1,1.0,0,1.0,1.0,1.0,1.1666666666666667,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
Water_51_ca023588,Water,35.50846,33.603328,Mazmoura,,,daily,other,Completely insufficient,June July August September,Mazmoura,Diesel generator electricity from the grid manually,One liter of diesel per week,100.0,100.0,100.0,0.0,0.0,1.0,0.0,0.0,Mazmoura,Avocado and thyme,June July August,Small production,Dried herbs (eg thyme) others,Few houses (< 30%),,,,,,other,,,,,,,,,35.50846_33.603328,1,0.0,2.0,1,100.0,1.0,1.0,0,1.0,0,0.0,1.0,1.0,1.3333333333333333,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False
Water_52_5fd2f62a,Water,35.667699,33.696108,Maaser El Chouf,Pine nuts,February March,Not irrigated once a week,other,It rarely is,"July, August, September, August",Al-Barouk,Diesel generator,One liter of diesel per week,44.44,33.33,11.11,0.0,11.11,43.67,0.0,0.0,Maaser El Chouf,"Apple trees, sustainable agriculture, tomatoes, chickpeas, olives, pine",June July August,Average production,"Dried herbs (such as thyme), jams or preserves, grape molasses, olive oil, pickled vegetables, cucumbers, maqdous)",Most homes (60–80%),Laying hens,Between 20 and 50,Domestic or agricultural waste is a mixture of the two,Al-Barouk,"More than 1 hectare (>10,000 m2)",other,"High temperatures, decreased precipitation, increased frost, heat waves","Decrease in production, delay in agricultural seasons, increase in pests and diseases, difficulties in pollination and fruiting, no significant impact",Al-Barouk,Organic Fertilization | Food waste recycling/compost Crop rotation Biological pest control Reduce or no tillage Cover crops,Chemical fertilizers | Animal manure Organic compost |,Partial credit,"Biological control, natural enemies, biocides  Physical control double door traps | Homemade pesticides | Chemical control pesticides",Partial credit,35.667699_33.696108,1,0.0,2.0,1,44.44,6.0,1.0,1,1.0,1,1.0,1.0,1.0,0.9629333333333333,1,0,1,1,1,0,0,0,0,0,1,0,1,1,1,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False
Water_53_52415112,Water,35.621215,33.615001,Niha El Chouf,,September,Not irrigated twice a week,other,Sometimes enough,Summer months,,other,,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Niha El Chouf,"Fruit trees, olives and vegetables",June July August,Average production,"Olive oil, pickled vegetables (such as cucumber, maqdous), dried herbs, thyme, honey, grape molasses, jams or preserves, dairy products, labneh, cheese)",Some homes (30–60%),Bees,,,,,other,,,,,,,,,35.621215_33.615001,1,0.0,2.0,0,50.0,2.0,1.0,1,1.0,0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True
Water_54_1bc9408f,Water,35.673121,33.74525,Warhaniyeh,Peaches to apples,June September,Once a week,"River, water stream",Sometimes enough,July August,,other,,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,other,,,,,,,,,35.673121_33.74525,1,0.0,2.0,0,50.0,1.0,1.0,0,1.0,0,0.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True
